tf	target	weight
b2697	b1831	97.181
b4324	b2043	97.097
b3119	b3659	97.046
b1187	b1185	96.815
b3684	b3376	96.783
b2697	b2513	96.756
b1506	b2368	96.743
b3680	b3679	96.56
b1658	b2500	96.549
b3082	b3083	96.449
b4539	b2630	96.294
b3680	b3678	96.284
b4539	b0226	96.212
b0346	b1415	96.192
b4324	b2958	96.162
b0346	b4069	96.101
b4292	b1019	96.086
b4293	b2211	96.074
b3905	b3330	96.025
b0020	b0019	95.914
b0375	b0218	95.87
b0375	b0136	95.767
b3520	b3896	95.746
b2980	b1778	95.726
b3118	b3114	95.708
b3711	b3943	95.585
b4498	b1817	95.554
b1564	b2630	95.52
b3118	b3113	95.503
b2852	b2273	95.411
b3022	b2630	95.339
b4539	b2377	95.034
b2664	b2663	94.932
b1799	b0380	94.852
b0346	b2310	94.447
b0889	b0928	94.435
b0346	b1422	94.35
b3515	b4378	94.285
b3520	b3861	94.225
b3516	b3514	94.12
b3604	b3223	94.114
b1658	b4005	94.092
b3022	b2377	94.084
b2980	b4512	93.925
b0889	b1603	93.704
b1739	b3012	93.692
b1384	b2310	93.676
b1658	b4006	93.656
b2852	b4215	93.655
b2684	b2682	93.618
b1891	b1923	93.577
b3261	b0023	93.403
b4539	b4599	93.389
b1799	b2877	93.258
b1564	b3129	93.176
b0346	b1384	93.151
b3555	b2465	93.057
b2856	b2854	92.994
b1384	b4512	92.991
b1892	b0765	92.986
b1299	b2310	92.934
b2537	b2341	92.725
b1892	b4110	92.7
b3906	b3711	92.693
b3906	b3710	92.565
b3512	b4378	92.555
b0375	b0141	92.552
b3753	b3749	92.489
b2805	b0380	92.344
b2856	b4215	92.292
b1305	b1303	92.174
b1303	b1305	92.042
b3555	b1896	92.016
b3842	b2562	91.953
b3515	b1661	91.868
b2706	b3221	91.777
b2017	b0119	91.72
b1799	b2875	91.606
b1658	b2557	91.532
b1987	b1009	91.52
b3684	b4186	91.361
b1071	b3072	91.356
b1891	b0764	91.279
b4324	b4180	91.189
b3555	b2086	91.129
b4043	b1741	91.092
b3604	b3221	91.047
b3067	b3401	90.994
b2980	b2844	90.952
b3520	b3723	90.889
b0788	b0790	90.823
b1987	b1006	90.785
b0435	b4581	90.608
b2125	b0651	90.607
b0435	b1952	90.582
b2706	b3223	90.559
b1658	b3654	90.509
b3711	b3140	90.435
b2409	b2233	90.427
b3555	b0453	90.396
b3906	b3533	90.331
b3022	b0226	90.315
b2017	b3021	90.243
b3118	b1498	90.221
b3555	b1739	90.212
b1040	b0854	90.188
b3604	b2150	90.187
b3119	b3818	90.147
b3202	b4025	90.112
